date,nav_usd,cash_usd,gross_exposure_usd,net_exposure_usd,realized_pnl_usd,unrealized_pnl_usd,daily_return_pct,since_inception_return_pct,drawdown_pct,overlay_as_of_utc
2026-03-25,100000.0,36000.0,64000.0,64000.0,0.0,0.0,0.0,0.0,0.0,2026-03-25T12:08:31Z
2026-03-25,99947.37,35981.05,63966.32,63966.32,-0.0,-52.63,-0.0,-0.0526,-0.0526,2026-03-25T12:21:52Z
2026-03-25,99788.68,35923.93,63864.77,63864.77,-0.02,-211.28,-0.0,-0.2113,-0.2113,2026-03-25T19:18:21Z
2026-03-25,99791.54,35924.99,63866.62,63866.62,-0.06,-208.33,-0.0,-0.2085,-0.2113,2026-03-25T22:08:27Z
2026-03-25,99791.74,35925.1,63866.73,63866.73,-0.09,-208.08,-0.0,-0.2083,-0.2113,2026-03-25T23:34:00Z
2026-03-25,99782.64,35921.84,63860.89,63860.89,-0.09,-217.18,0.0,-0.2174,-0.2174,2026-03-25T23:46:50Z
2026-03-25,99785.42,35922.85,63862.68,63862.68,-0.1,-214.38,-0.0,-0.2146,-0.2174,2026-03-25T23:50:51Z
2026-03-26,99765.98,35915.86,63850.23,63850.23,-0.11,-233.79,-0.0,-0.234,-0.234,2026-03-26T00:46:04Z
2026-03-26,99673.93,35882.73,63791.32,63791.32,-0.13,-325.81,-0.0,-0.3261,-0.3261,2026-03-26T11:33:57Z
2026-03-26,99518.16,35826.69,63691.66,63691.66,-0.19,-481.46,-0.0001,-0.4818,-0.4818,2026-03-26T19:25:44Z
2026-03-26,99472.94,35810.46,63662.7,63662.7,-0.22,-526.63,-0.0,-0.5271,-0.5271,2026-03-26T20:13:51Z
2026-03-26,99556.26,35840.57,63716.19,63716.19,-0.5,-442.74,-0.0003,-0.4437,-0.5271,2026-03-26T23:05:58Z
2026-03-26,99551.58,35839.08,63713.02,63713.02,-0.52,-447.38,-0.0,-0.4484,-0.5271,2026-03-26T23:32:25Z
2026-03-26,99559.41,35841.92,63718.04,63718.04,-0.55,-439.49,-0.0,-0.4406,-0.5271,2026-03-26T23:42:52Z
2026-03-28,99257.64,35733.34,63524.95,63524.95,-0.65,-741.07,-0.0001,-0.7424,-0.7424,2026-03-28T08:58:02Z
2026-03-28,99276.67,35740.3,63537.16,63537.16,-0.8,-721.74,-0.0002,-0.7233,-0.7424,2026-03-28T22:33:56Z
2026-03-28,99273.4,35739.23,63534.98,63534.98,-0.81,-724.98,-0.0,-0.7266,-0.7424,2026-03-28T22:45:34Z
2026-03-29,99270.83,35739.23,63531.6,63531.6,-0.81,-728.36,-0.0026,-0.7292,-0.7424,2026-03-29T00:25:31Z
2026-03-29,99267.15,35739.23,63527.92,63527.92,-0.81,-732.05,-0.0037,-0.7329,-0.7424,2026-03-29T00:50:29Z
2026-03-29,99274.67,35739.23,63535.44,63535.44,-0.81,-724.53,0.0076,-0.7253,-0.7424,2026-03-29T08:35:40Z
2026-03-29,99319.63,35756.0,63564.78,63564.78,-1.15,-678.07,-0.0003,-0.6804,-0.7424,2026-03-29T12:55:35Z
2026-03-29,99324.7,35756.0,63568.7,63568.7,-1.15,-674.14,0.0051,-0.6753,-0.7424,2026-03-29T13:01:01Z
2026-03-29,99352.48,35768.14,63585.76,63585.76,-1.42,-644.68,-0.0003,-0.6475,-0.7424,2026-03-29T14:24:37Z
2026-03-29,99299.75,35768.14,63531.61,63531.61,-1.42,-698.84,-0.0531,-0.7003,-0.7424,2026-03-29T20:19:49Z
2026-03-29,99148.1,35768.14,63379.96,63379.96,-1.42,-850.47,-0.1527,-0.8519,-0.8519,2026-03-29T22:46:54Z
2026-03-30,99333.13,35768.14,63564.99,63564.99,-1.42,-665.42,0.1866,-0.6669,-0.8519,2026-03-30T06:19:57Z
2026-03-30,99194.27,35768.14,63426.13,63426.13,-1.42,-804.28,-0.1398,-0.8057,-0.8519,2026-03-30T16:52:31Z
2026-03-31,99478.38,35768.14,63710.24,63710.24,-1.42,-520.18,0.2864,-0.5216,-0.8519,2026-03-31T23:01:03Z
2026-04-01,99560.42,35768.14,63792.28,63792.28,-1.42,-438.15,0.0825,-0.4396,-0.8519,2026-04-01T06:11:35Z
2026-04-01,99690.99,35768.14,63922.85,63922.85,-1.42,-307.59,0.1311,-0.309,-0.8519,2026-04-01T07:16:07Z
2026-04-01,99827.25,35768.14,64059.11,64059.11,-1.42,-171.33,0.1367,-0.1727,-0.8519,2026-04-01T17:07:23Z
2026-04-01,99724.54,35768.14,63956.4,63956.4,-1.42,-274.06,-0.1029,-0.2755,-0.8519,2026-04-01T23:06:42Z
2026-04-02,99428.0,35768.14,63659.86,63659.86,-1.42,-570.56,-0.2974,-0.572,-0.8519,2026-04-02T22:09:04Z
2026-04-03,99307.74,35768.14,63539.6,63539.6,-1.42,-690.84,-0.121,-0.6923,-0.8519,2026-04-03T20:00:24Z
2026-04-03,99326.13,35768.14,63557.99,63557.99,-1.42,-672.44,0.0185,-0.6739,-0.8519,2026-04-03T20:25:28Z
2026-04-14,100717.08,35768.14,64948.94,64948.94,-1.42,718.5,1.4004,0.7171,-0.8519,2026-04-14T20:32:02Z
2026-04-14,100724.36,35768.14,64956.22,64956.22,-1.42,725.78,0.0072,0.7244,-0.8519,2026-04-14T22:21:34Z
2026-04-14,100713.64,35768.14,64945.5,64945.5,-1.42,715.08,-0.0106,0.7136,-0.8519,2026-04-14T23:14:25Z
2026-04-15,100768.01,35768.14,64999.87,64999.87,-1.42,769.43,0.054,0.768,-0.8519,2026-04-15T18:14:47Z
2026-04-15,100771.02,35768.14,65002.88,65002.88,-1.42,772.42,0.003,0.771,-0.8519,2026-04-15T18:18:38Z
2026-04-15,100773.44,35768.14,65005.3,65005.3,-1.42,774.86,0.0024,0.7734,-0.8519,2026-04-15T18:22:28Z
2026-04-16,100681.33,35768.14,64913.19,64913.19,-1.42,682.77,-0.0914,0.6813,-0.8519,2026-04-16T16:49:00Z
2026-04-16,100664.43,35768.14,64896.29,64896.29,-1.42,665.85,-0.0168,0.6644,-0.8519,2026-04-16T17:49:57Z
2026-04-16,100701.83,35768.14,64933.69,64933.69,-1.42,703.25,0.0372,0.7018,-0.8519,2026-04-16T19:03:12Z
2026-04-16,100698.76,35768.14,64930.62,64930.62,-1.42,700.2,-0.003,0.6988,-0.8519,2026-04-16T21:50:17Z
2026-04-16,100727.17,35768.14,64959.03,64959.03,-1.42,728.6,0.0282,0.7272,-0.8519,2026-04-16T22:29:58Z
2026-04-17,100728.32,35768.14,64960.18,64960.18,-1.42,729.74,0.0011,0.7283,-0.8519,2026-04-17T07:58:30Z
2026-04-17,101049.9,35768.14,65281.76,65281.76,-1.42,1051.33,0.3193,1.0499,-0.8519,2026-04-17T14:06:33Z
2026-04-20,100860.23,35768.14,65092.09,65092.09,-1.42,861.66,-0.1877,0.8602,-0.8519,2026-04-20T21:24:32Z
2026-04-21,100734.16,24179.22,76563.03,76563.03,-8.08,750.34,-0.0066,0.7342,-0.8519,2026-04-21T11:02:02Z
2026-04-21,100665.49,24179.22,76486.27,76486.27,-8.08,673.57,-0.0682,0.6655,-0.8519,2026-04-21T21:24:36Z
2026-04-21,100655.14,24165.26,76497.74,76497.74,-7.87,670.88,0.0002,0.6551,-0.8519,2026-04-21T22:00:38Z
2026-04-22,100581.3,24165.26,76416.04,76416.04,-7.87,589.15,-0.0734,0.5813,-0.8519,2026-04-22T21:28:01Z
2026-04-23,100260.34,24165.26,76095.08,76095.08,-7.87,268.24,-0.3191,0.2603,-0.8519,2026-04-23T17:51:43Z
2026-04-24,100538.0,24165.26,76372.74,76372.74,-7.87,545.85,0.2769,0.538,-0.8519,2026-04-24T21:48:25Z
2026-05-02,100808.95,24165.26,76643.69,76643.69,-7.87,816.82,0.2695,0.8089,-0.8519,2026-05-02T18:17:42Z
2026-05-03,100806.2,24165.26,76640.94,76640.94,-7.87,814.09,-0.0027,0.8062,-0.2412,2026-05-03T10:16:19Z
